	direccion	lat	lon
0	Av. Las Heras 2600, Barrio Norte, Argentina	-33.74068	-61.94641
0	Saez Pena 1700, Constitucion, Argentina	-34.6284711	-58.3868977
0	Avellaneda 4300, Floresta, Argentina	-34.6310972	-58.4875548
0	Av. Rivadavia 6700, Flores, Argentina	-34.6280058	-58.4596822
0	Alsina 2900, Balvanera, Argentina	-34.6126349	-58.4067739
0	General Alvarez Condarco 400, Flores, Argentina	-34.6267685	-58.4684485
0	Alsina, Adolfo 2200, Balvanera, Argentina	-34.6119	-58.39732
0	Martin Garcia 600, Barracas, Argentina	-34.6316599	-58.37263
0	Av Santa Fe 5100, Palermo Chico - Palermo, Argentina	-34.57673	-58.43158
0	Guemes 4400, Palermo, Argentina	-34.5829827	-58.4218325
0	Pringles 1100, Palermo, Argentina	-34.5992908	-58.4267787
0	Cuenca 3200, Villa del Parque, Argentina	-34.6006609	-58.4958061
0	Juan B Alberdi 200, Caballito, Argentina	-34.6226	-58.43057
0	Cramer 3000, Belgrano, Argentina	-34.5715059	-58.4521844
0	Olazabal 3000, Belgrano, Argentina	-34.5635287	-58.4637559
0	Libertador 5200, Belgrano, Argentina	-27.5877814	-56.6893473
0	Olazabal 1500, Belgrano, Argentina	-34.5548004	-58.4490828
0	Gorriti 5200, Palermo Hollywood - Palermo, Argentina	-34.5883875	-58.4330336
0	Av. Coronel Roca 5200, Villa Lugano, Argentina	-34.6856	-58.45687
0	Terrada 1800, Villa Santa Rita, Argentina	-34.6129569	-58.4786039
0	Condarco 1800, Villa Santa Rita, Argentina	-34.6123097	-58.4772748
0	General Manuel Savio 200, Palermo, Argentina	null	null
0	Carbajal 3900, Belgrano, Argentina	-34.5711955	-58.4600609
0	Avenida Cabildo 2400, Belgrano, Argentina	-34.5594334	-58.4591681
0	Doctor Luis Belaustegui 900, Paternal, Argentina	null	null
0	Nogoya 3700, Villa Devoto, Argentina	-34.6068706	-58.4984148
0	Av Diaz Velez 5100, Caballito, Argentina	-34.6088858	-58.438675
0	Carlos Calvo 1700, Constitucion, Argentina	-34.6202399	-58.3900159
0	Federico Garcia Lorca 100, Caballito, Argentina	-34.6207199	-58.4449569
0	Naon 3500, Saavedra, Argentina	-34.5551609	-58.482381
0	Ruy Diaz De Guzman 200, Barracas, Argentina	-34.6326799	-58.3711779
0	Venezuela 400, Monserrat, Argentina	-34.6137748	-58.3717243
0	Av. Independencia 700, San Telmo, Argentina	-34.6174975	-58.37579
0	Av. San Juan 200, San Telmo, Argentina	-34.6217816	-58.3681527
0	Balcarce 1000, San Telmo, Argentina	-34.6192578	-58.3700295
0	Carlos Calvo 400, San Telmo, Argentina	-34.6196009	-58.3713459
0	Valentin Virasoro 1400, Caballito, Argentina	-34.6080626	-58.4437303
0	Saavedra 200, Once, Argentina	-34.6121599	-58.4031159
0	Avenida Independencia 1200, Congreso, Argentina	-34.6179599	-58.38803
0	Avenida La Plata 800, Almagro, Argentina	-34.61669	-58.42889
0	Don Bosco 4100, Almagro, Argentina	-34.613673	-58.4231874
0	Av. Directorio 2300, Flores, Argentina	-34.6330549	-58.4588437
0	Avenida Monroe 1500, Belgrano, Argentina	-34.5656216	-58.4714737
0	Av. Rivadavia 3600, Almagro, Argentina	-34.6110222	-58.4184794
0	Av San Martin -2200, Caballito, Argentina	-34.60469	-58.45805
0	Av. San Martin 2200, Caballito, Argentina	-34.60469	-58.45805
0	Guemes 3600, Palermo, Argentina	-34.5889583	-58.4135793
0	Acevedo, Eduardo 100, Caballito, Argentina	-34.6145314	-58.4310024
0	Monroe 5700, Villa Urquiza, Argentina	-34.5782058	-58.4928712
0	Oro 2900, Palermo, Argentina	-34.5813497	-58.4262335
0	Bravo, Mario 800, Almagro, Argentina	-34.6879045	-58.6768051
0	Belgrano, Avda. 1300, Centro / Microcentro, Argentina	-31.4167	-64.18896
0	General Cesar Diaz 2900, Villa del Parque, Argentina	null	null
0	Av La Plata 300, Caballito, Argentina	-34.61669	-58.42889
0	Federico Garcia Lorca 400, Caballito, Argentina	-34.6175079	-58.4457259
